transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount
T000748,C0109,P049,2025-02-06,8,96.14,769.12
T000332,C0051,P007,2025-02-06,8,407.62,3260.92
T000338,C0036,P020,2025-02-07,9,33.96,305.6
T000660,C0106,P016,2025-02-07,4,131.39,525.56
T000931,C0028,P013,2025-02-07,9,22.34,201.05
T000882,C0007,P014,2025-02-07,1,415.97,415.97
T000284,C0130,P030,2025-02-07,6,423.42,2540.49
T000374,C0113,P040,2025-02-08,8,85.9,687.21
T000156,C0057,P011,2025-02-08,4,209.11,836.44
T000330,C0174,P019,2025-02-08,2,499.47,998.94
T000172,C0080,P009,2025-02-08,3,454.3,1362.9
T000984,C0122,P033,2025-02-08,7,476.96,3338.72
T000127,C0128,P029,2025-02-09,7,21.19,148.3
T000912,C0171,P009,2025-02-09,9,87.87,790.81
T000028,C0074,P014,2025-02-09,1,155.87,155.87
T000012,C0172,P018,2025-02-09,6,91.82,550.94
T000182,C0008,P034,2025-02-10,1,481.07,481.07
T000636,C0108,P007,2025-02-11,2,286.1,572.2
T000621,C0005,P029,2025-02-11,5,84.7,423.52
T000316,C0046,P002,2025-02-12,4,215.61,862.45
T000035,C0016,P025,2025-02-12,4,290.25,1161.0
T000538,C0067,P017,2025-02-12,9,223.25,2009.26
T000905,C0035,P034,2025-02-13,4,417.5,1670.01
T000699,C0155,P024,2025-02-13,3,94.56,283.67
T000632,C0129,P012,2025-02-13,1,143.99,143.99
T000580,C0165,P044,2025-02-13,6,377.08,2262.46
T000207,C0159,P019,2025-02-13,4,71.72,286.86
T000556,C0194,P009,2025-02-14,6,250.55,1503.28
T000381,C0077,P037,2025-02-14,2,410.94,821.87
T000362,C0106,P038,2025-02-15,6,394.3,2365.81
T000919,C0115,P007,2025-02-15,3,366.63,1099.88
T000951,C0175,P018,2025-02-15,3,413.9,1241.7
T000831,C0146,P040,2025-02-15,2,7.47,14.93
T000487,C0004,P003,2025-02-16,8,216.15,1729.19
T000934,C0170,P002,2025-02-16,9,365.49,3289.37
T000471,C0033,P041,2025-02-16,8,319.25,2554.03
T000451,C0040,P037,2025-02-16,4,470.14,1880.55
T000938,C0025,P022,2025-02-17,9,398.64,3587.78
T000007,C0069,P037,2025-02-17,8,31.12,248.99
T000971,C0094,P007,2025-02-17,5,445.7,2228.51
T000086,C0113,P041,2025-02-18,9,158.4,1425.63
T000081,C0178,P010,2025-02-18,6,417.77,2506.6
T000665,C0048,P025,2025-02-19,7,198.09,1386.6
T000179,C0068,P047,2025-02-19,5,263.63,1318.14
T000744,C0061,P030,2025-02-19,4,322.35,1289.38
T000291,C0185,P046,2025-02-20,3,104.16,312.49
T000230,C0110,P042,2025-02-20,9,291.92,2627.24
T000111,C0045,P015,2025-02-21,8,434.45,3475.63
T000359,C0094,P045,2025-02-21,8,460.6,3684.78
T000874,C0005,P031,2025-02-21,4,329.04,1316.16
T000075,C0138,P037,2025-02-21,2,365.35,730.7
T000597,C0144,P043,2025-02-21,3,456.0,1368.01
T000561,C0175,P046,2025-02-22,3,448.82,1346.46
T000500,C0098,P026,2025-02-22,5,134.07,670.35
T000065,C0156,P035,2025-02-22,2,153.06,306.13
T000549,C0006,P035,2025-02-23,5,382.51,1912.56
T000622,C0002,P012,2025-02-24,7,66.49,465.46
T000943,C0047,P004,2025-02-25,7,424.0,2968.02
T000410,C0021,P009,2025-02-25,8,444.39,3555.13
T000937,C0154,P007,2025-02-25,6,362.2,2173.22
T000498,C0157,P015,2025-02-25,7,35.94,251.59
T000727,C0115,P008,2025-02-26,7,12.56,87.95
T000402,C0194,P037,2025-02-26,4,74.28,297.13
T000467,C0085,P018,2025-02-26,6,474.25,2845.51
T000160,C0008,P039,2025-02-26,4,357.66,1430.66
T000778,C0181,P019,2025-02-26,3,61.6,184.8
T000513,C0119,P013,2025-02-27,3,74.93,224.79
T000560,C0132,P008,2025-02-27,7,336.87,2358.08
T000670,C0196,P026,2025-02-27,3,141.28,423.85
T000299,C0174,P006,2025-02-27,7,38.06,266.41
T000059,C0078,P015,2025-02-28,3,432.17,1296.51
T000570,C0130,P047,2025-02-28,6,163.59,981.55
T000323,C0068,P038,2025-02-28,8,77.83,622.64
T000737,C0110,P049,2025-03-01,6,288.16,1728.98
T000052,C0158,P017,2025-03-01,2,210.16,420.32
T000092,C0111,P017,2025-03-02,5,183.58,917.88
T000391,C0030,P046,2025-03-02,2,414.27,828.54
T000903,C0078,P044,2025-03-02,9,65.52,589.64
T000171,C0160,P028,2025-03-02,6,442.87,2657.21
T000763,C0081,P040,2025-03-03,5,136.47,682.35
T000051,C0044,P012,2025-03-03,3,160.91,482.74
T000287,C0051,P047,2025-03-03,3,224.31,672.93
T000307,C0011,P005,2025-03-03,9,80.16,721.47
T000768,C0116,P022,2025-03-04,5,273.29,1366.47
T000510,C0052,P009,2025-03-05,8,11.02,88.15
T000202,C0127,P033,2025-03-05,6,303.35,1820.08
T000311,C0036,P019,2025-03-05,1,72.64,72.64
T000680,C0078,P009,2025-03-05,4,432.96,1731.84
T000465,C0183,P031,2025-03-06,8,223.36,1786.84
T000819,C0039,P003,2025-03-06,6,399.72,2398.33
T000764,C0197,P020,2025-03-07,7,420.7,2944.9
T000468,C0163,P016,2025-03-07,6,42.58,255.45
T000960,C0091,P026,2025-03-08,3,125.6,376.81
T000494,C0127,P048,2025-03-08,4,330.26,1321.02
T000475,C0020,P010,2025-03-08,3,425.3,1275.89
T000346,C0109,P041,2025-03-08,9,190.53,1714.74
T000848,C0077,P008,2025-03-08,1,213.49,213.49
T000746,C0099,P007,2025-03-08,1,133.73,133.73
T000909,C0104,P003,2025-03-08,1,229.26,229.26
T000285,C0078,P048,2025-03-08,3,470.13,1410.4
T000993,C0059,P025,2025-03-08,9,336.7,3030.26
T000997,C0145,P043,2025-03-08,9,325.79,2932.12
T000872,C0039,P006,2025-03-09,6,405.83,2434.96
T000624,C0142,P016,2025-03-09,2,390.17,780.35
T000842,C0047,P032,2025-03-09,5,56.3,281.5
T000209,C0102,P048,2025-03-09,6,264.85,1589.1
T000270,C0138,P010,2025-03-10,1,475.15,475.15
T000089,C0154,P013,2025-03-10,4,218.1,872.4
T000125,C0054,P018,2025-03-10,9,324.24,2918.18
T000725,C0009,P036,2025-03-10,7,83.11,581.74
T000604,C0105,P015,2025-03-10,9,71.58,644.22
T000656,C0115,P012,2025-03-10,4,273.71,1094.84
T000002,C0131,P034,2025-03-10,1,464.31,464.31
T000794,C0024,P004,2025-03-11,2,418.04,836.07
T000448,C0012,P015,2025-03-11,2,144.17,288.34
T000034,C0056,P007,2025-03-11,8,355.35,2842.78
T000821,C0136,P027,2025-03-11,4,165.7,662.81
T000043,C0198,P026,2025-03-11,5,480.41,2402.04
T000610,C0161,P047,2025-03-12,8,365.02,2920.19
T000841,C0081,P032,2025-03-12,6,355.6,2133.59
T000547,C0104,P021,2025-03-13,6,256.12,1536.71
T000309,C0055,P012,2025-03-13,3,477.78,1433.34
T000235,C0023,P003,2025-03-13,4,416.9,1667.6
T000976,C0076,P009,2025-03-14,2,32.32,64.65
T000565,C0176,P002,2025-03-14,8,286.29,2290.35
T000201,C0156,P002,2025-03-15,3,226.3,678.91
T000731,C0199,P030,2025-03-16,1,492.6,492.6
T000578,C0049,P031,2025-03-16,1,28.68,28.68
T000080,C0187,P040,2025-03-16,1,248.84,248.84
T000619,C0124,P032,2025-03-17,2,394.49,788.97
T000164,C0123,P014,2025-03-17,6,362.12,2172.74
T000646,C0132,P043,2025-03-17,4,346.23,1384.9
T000929,C0007,P042,2025-03-17,1,346.43,346.43
T000953,C0175,P046,2025-03-18,5,329.95,1649.74
T000616,C0145,P006,2025-03-18,9,347.13,3124.17
T000473,C0111,P014,2025-03-20,6,309.82,1858.92
T000592,C0073,P046,2025-03-21,1,18.61,18.61
T000826,C0102,P020,2025-03-21,9,283.59,2552.35
T000486,C0055,P005,2025-03-21,2,459.52,919.04
T000729,C0117,P033,2025-03-22,3,497.74,1493.22
T000713,C0107,P019,2025-03-23,1,367.94,367.94
T000645,C0059,P038,2025-03-23,9,274.94,2474.44
T000816,C0078,P007,2025-03-24,2,221.64,443.28
T000069,C0045,P045,2025-03-24,3,401.2,1203.61
T000360,C0153,P004,2025-03-24,4,240.03,960.11
T000015,C0074,P004,2025-03-24,6,74.85,449.12
T000314,C0183,P013,2025-03-25,5,298.03,1490.16
T000792,C0118,P008,2025-03-25,3,423.08,1269.24
T000407,C0072,P005,2025-03-27,3,42.2,126.61
T000094,C0050,P010,2025-03-27,3,408.55,1225.66
T000458,C0084,P013,2025-03-27,2,300.18,600.35
T000004,C0045,P002,2025-03-27,9,144.51,1300.6
T000605,C0016,P042,2025-03-27,8,378.51,3028.09
T000703,C0143,P006,2025-03-28,4,329.44,1317.75
T000786,C0177,P041,2025-03-28,3,57.75,173.26
T000519,C0057,P019,2025-03-28,2,268.31,536.61
T000517,C0103,P021,2025-03-28,8,127.62,1020.99
T000275,C0067,P035,2025-03-28,6,283.57,1701.41
T000310,C0090,P044,2025-03-28,2,407.23,814.46
T000921,C0098,P012,2025-03-29,8,472.62,3780.99
T000627,C0194,P020,2025-03-29,2,138.38,276.75
T000864,C0188,P035,2025-03-29,5,164.02,820.11
T000137,C0132,P035,2025-03-30,4,292.55,1170.18
T000782,C0169,P033,2025-03-30,3,117.84,353.52
T000743,C0019,P011,2025-03-30,4,112.44,449.77
T000891,C0097,P016,2025-03-31,7,217.47,1522.27
T000322,C0028,P034,2025-04-01,3,340.4,1021.2
T000554,C0144,P029,2025-04-01,9,428.39,3855.47
T000193,C0091,P037,2025-04-02,4,344.21,1376.86
T000256,C0061,P010,2025-04-02,1,189.42,189.42
T000141,C0060,P033,2025-04-03,4,241.7,966.79
T000926,C0005,P026,2025-04-03,4,31.01,124.06
T000039,C0117,P008,2025-04-03,1,174.33,174.33
T000835,C0074,P016,2025-04-03,5,309.64,1548.22
T000292,C0132,P012,2025-04-03,9,341.18,3070.65
T000595,C0153,P007,2025-04-04,1,365.6,365.6
T000352,C0066,P039,2025-04-04,5,443.23,2216.14
T000432,C0132,P021,2025-04-04,7,313.88,2197.14
T000785,C0011,P030,2025-04-05,1,458.11,458.11
T000523,C0035,P007,2025-04-05,5,348.99,1744.93
T000847,C0026,P044,2025-04-06,8,299.83,2398.64
T000321,C0195,P037,2025-04-08,6,380.34,2282.03
T000026,C0093,P013,2025-04-09,3,302.46,907.39
T000877,C0061,P021,2025-04-10,9,374.17,3367.52
T000301,C0132,P011,2025-04-10,9,348.33,3134.96
T000318,C0167,P017,2025-04-10,6,8.49,50.92
T000134,C0072,P044,2025-04-10,5,481.34,2406.7
T000380,C0065,P020,2025-04-10,8,309.64,2477.12
T000867,C0143,P012,2025-04-11,4,211.85,847.4
T000790,C0168,P048,2025-04-11,6,485.81,2914.89
T000440,C0069,P012,2025-04-11,9,497.33,4475.93
T000238,C0074,P011,2025-04-11,9,441.67,3975.06
T000992,C0034,P027,2025-04-11,1,76.02,76.02
T000049,C0162,P038,2025-04-12,3,359.96,1079.87
T000392,C0074,P041,2025-04-12,1,189.95,189.95
T000681,C0082,P034,2025-04-12,4,407.91,1631.64
T000263,C0055,P012,2025-04-12,8,423.08,3384.67
T000648,C0037,P007,2025-04-14,9,303.46,2731.18
T000774,C0190,P028,2025-04-15,8,397.31,3178.48
T000058,C0146,P033,2025-04-15,1,472.44,472.44
T000404,C0043,P004,2025-04-15,5,253.89,1269.43
T000546,C0035,P023,2025-04-16,9,164.07,1476.67
T000629,C0198,P039,2025-04-16,4,56.8,227.19
T000379,C0112,P020,2025-04-17,3,439.94,1319.83
T000480,C0003,P014,2025-04-17,4,488.73,1954.94
T000977,C0098,P044,2025-04-17,6,495.25,2971.49
T000736,C0006,P021,2025-04-17,4,297.5,1189.99
T000076,C0037,P026,2025-04-17,1,292.46,292.46
T000525,C0034,P038,2025-04-17,7,181.36,1269.53
T000133,C0137,P033,2025-04-17,1,280.75,280.75
T000206,C0056,P007,2025-04-17,9,68.37,615.37
T000365,C0074,P021,2025-04-17,3,474.81,1424.43
T000814,C0155,P022,2025-04-17,6,231.78,1390.68
T000084,C0007,P026,2025-04-18,8,239.93,1919.4
T000935,C0047,P019,2025-04-20,6,494.64,2967.87
T000200,C0073,P025,2025-04-20,9,427.99,3851.9
T000120,C0028,P030,2025-04-21,2,116.51,233.02
T000545,C0124,P046,2025-04-21,2,320.44,640.88
T000981,C0021,P004,2025-04-21,7,387.27,2710.92
T000416,C0074,P007,2025-04-21,4,494.19,1976.75
T000265,C0108,P011,2025-04-21,7,353.44,2474.07
T000820,C0124,P041,2025-04-22,1,46.07,46.07
T000542,C0136,P016,2025-04-23,2,14.74,29.47
T000620,C0199,P017,2025-04-23,4,392.59,1570.35
T000773,C0018,P015,2025-04-24,7,365.16,2556.15
T000337,C0056,P020,2025-04-24,4,312.02,1248.1
T000955,C0123,P012,2025-04-24,2,279.02,558.03
T000514,C0172,P025,2025-04-25,4,375.2,1500.8
T000747,C0005,P049,2025-04-25,3,445.08,1335.25
T000892,C0158,P010,2025-04-26,6,291.52,1749.1
T000868,C0106,P022,2025-04-26,9,372.75,3354.71
T000988,C0028,P003,2025-04-26,7,185.35,1297.45
T000063,C0058,P040,2025-04-26,8,92.65,741.2
T000454,C0120,P027,2025-04-26,8,494.12,3952.99
T000896,C0042,P004,2025-04-27,7,45.68,319.73
T000350,C0187,P049,2025-04-27,1,329.29,329.29
T000185,C0107,P040,2025-04-27,9,463.33,4169.97
T000537,C0085,P008,2025-04-28,4,448.82,1795.29
T000353,C0140,P014,2025-04-28,4,370.99,1483.95
T000412,C0198,P007,2025-04-28,1,150.32,150.32
T000082,C0157,P002,2025-04-28,7,369.59,2587.12
T000952,C0185,P026,2025-04-28,3,471.27,1413.8
T000625,C0009,P040,2025-04-29,6,339.2,2035.21
T000382,C0158,P005,2025-04-29,7,16.22,113.53
T000928,C0072,P039,2025-04-30,7,149.76,1048.33
T000571,C0077,P013,2025-04-30,6,402.23,2413.41
T000499,C0181,P002,2025-05-01,6,226.35,1358.11
T000715,C0040,P041,2025-05-01,9,33.62,302.55
T000062,C0093,P008,2025-05-01,6,80.67,484.0
T000772,C0046,P046,2025-05-01,8,143.58,1148.6
T000029,C0164,P017,2025-05-01,5,146.99,734.97
T000755,C0174,P022,2025-05-01,8,183.06,1464.44
T000678,C0074,P040,2025-05-02,8,459.98,3679.87
T000373,C0137,P002,2025-05-02,2,10.23,20.45
T000712,C0048,P008,2025-05-02,5,432.3,2161.52
T000902,C0120,P037,2025-05-02,8,101.59,812.75
T000147,C0041,P021,2025-05-03,1,57.58,57.58
T000789,C0046,P007,2025-05-03,3,306.48,919.45
T000692,C0083,P008,2025-05-03,1,463.25,463.25
T000922,C0185,P045,2025-05-03,3,419.28,1257.84
T000702,C0103,P012,2025-05-03,8,405.71,3245.67
T000880,C0040,P045,2025-05-04,8,133.69,1069.52
T000511,C0055,P001,2025-05-05,3,37.1,111.31
T000528,C0125,P003,2025-05-06,8,379.14,3033.14
T000205,C0051,P023,2025-05-07,8,20.7,165.62
T000799,C0028,P040,2025-05-07,3,441.12,1323.35
T000961,C0194,P048,2025-05-08,1,156.37,156.37
T000873,C0167,P036,2025-05-08,1,415.17,415.17
T000749,C0163,P037,2025-05-10,6,93.63,561.8
T000161,C0193,P017,2025-05-10,9,42.96,386.63
T000886,C0019,P027,2025-05-10,3,228.73,686.19
T000686,C0074,P020,2025-05-10,1,449.93,449.93
T000044,C0179,P015,2025-05-10,3,96.76,290.29
T000639,C0107,P043,2025-05-11,8,486.35,3890.81
T000906,C0139,P048,2025-05-11,2,273.84,547.67
T000181,C0056,P046,2025-05-11,2,171.07,342.15
T000073,C0091,P005,2025-05-12,5,430.98,2154.89
T000393,C0057,P041,2025-05-12,5,198.55,992.74
T000638,C0182,P029,2025-05-12,8,481.68,3853.46
T000806,C0142,P043,2025-05-12,3,416.39,1249.17
T000363,C0199,P019,2025-05-12,1,311.47,311.47
T000283,C0188,P031,2025-05-12,2,493.74,987.47
T000367,C0109,P041,2025-05-13,1,267.66,267.66
T000411,C0078,P033,2025-05-14,8,77.2,617.58
T000916,C0181,P008,2025-05-14,5,341.78,1708.92
T000016,C0055,P018,2025-05-15,1,485.74,485.74
T000347,C0014,P002,2025-05-15,8,328.46,2627.7
T000496,C0148,P027,2025-05-16,6,452.08,2712.48
T000195,C0002,P015,2025-05-16,2,93.65,187.31
T000324,C0085,P031,2025-05-17,3,253.0,759.01
T000566,C0105,P041,2025-05-17,7,365.61,2559.29
T000995,C0158,P027,2025-05-17,8,179.78,1438.27
T000989,C0188,P027,2025-05-17,8,343.93,2751.47
T000589,C0134,P038,2025-05-17,4,9.01,36.06
T000714,C0004,P022,2025-05-18,9,69.25,623.26
T000800,C0059,P025,2025-05-18,3,61.72,185.15
T000064,C0086,P039,2025-05-19,2,101.7,203.4
T000358,C0094,P030,2025-05-19,3,418.0,1254.01
T000021,C0105,P015,2025-05-20,8,58.75,470.01
T000801,C0102,P016,2025-05-20,7,321.12,2247.82
T000100,C0087,P023,2025-05-20,9,229.23,2063.04
T000019,C0095,P020,2025-05-20,1,451.07,451.07
T000162,C0011,P044,2025-05-21,1,329.51,329.51
T000325,C0050,P014,2025-05-21,9,72.92,656.29
T000862,C0120,P016,2025-05-21,4,25.24,100.96
T000093,C0035,P001,2025-05-22,5,34.03,170.16
T000551,C0036,P049,2025-05-22,6,433.91,2603.45
T000105,C0062,P027,2025-05-23,8,367.23,2937.84
T000575,C0065,P005,2025-05-23,9,413.21,3718.85
T000401,C0092,P024,2025-05-24,4,164.98,659.94
T000212,C0072,P039,2025-05-24,5,71.81,359.06
T000679,C0003,P043,2025-05-24,7,336.06,2352.43
T000672,C0137,P021,2025-05-26,5,425.7,2128.5
T000533,C0101,P038,2025-05-26,7,382.14,2675.01
T000584,C0186,P034,2025-05-27,5,454.33,2271.63
T000091,C0160,P021,2025-05-27,4,327.38,1309.52
T000697,C0171,P020,2025-05-27,2,70.91,141.83
T000040,C0093,P028,2025-05-28,7,183.21,1282.5
T000251,C0022,P011,2025-05-28,3,266.96,800.88
T000994,C0139,P048,2025-05-28,5,339.98,1699.92
T000687,C0199,P045,2025-05-28,6,427.51,2565.06
T000242,C0049,P016,2025-05-29,9,171.34,1542.04
T000508,C0128,P018,2025-05-30,7,397.02,2779.15
T000128,C0167,P017,2025-05-30,9,47.21,424.89
T000312,C0123,P032,2025-05-31,6,378.24,2269.43
T000758,C0065,P002,2025-05-31,4,159.99,639.95
T000573,C0138,P003,2025-05-31,2,473.63,947.26
T000419,C0109,P039,2025-06-01,1,230.18,230.18
T000457,C0039,P024,2025-06-01,1,10.32,10.32
T000431,C0107,P014,2025-06-01,4,108.47,433.88
T000180,C0158,P025,2025-06-01,6,195.99,1175.97
T000152,C0121,P049,2025-06-01,8,107.6,860.8
T000143,C0192,P003,2025-06-02,4,238.53,954.11
T000577,C0102,P048,2025-06-03,7,478.43,3349.03
T000739,C0030,P029,2025-06-03,5,317.24,1586.19
T000512,C0050,P003,2025-06-04,7,342.87,2400.09
T000327,C0128,P039,2025-06-04,8,193.33,1546.6
T000041,C0131,P020,2025-06-04,8,296.98,2375.82
T000583,C0078,P002,2025-06-05,3,90.68,272.03
T000623,C0161,P015,2025-06-05,8,87.6,700.76
T000999,C0087,P035,2025-06-06,5,75.03,375.13
T000553,C0156,P009,2025-06-06,2,78.63,157.26
T000939,C0079,P032,2025-06-07,8,88.97,711.75
T000441,C0134,P015,2025-06-07,8,136.88,1095.01
T000470,C0160,P029,2025-06-08,9,363.52,3271.7
T000767,C0066,P037,2025-06-09,5,85.9,429.52
T000839,C0129,P011,2025-06-09,1,100.38,100.38
T000735,C0184,P038,2025-06-10,1,247.0,247.0
T000405,C0117,P037,2025-06-11,3,446.3,1338.89
T000942,C0041,P016,2025-06-11,5,460.33,2301.65
T000933,C0171,P021,2025-06-11,6,493.89,2963.31
T000250,C0011,P043,2025-06-12,7,472.05,3304.33
T000674,C0043,P048,2025-06-12,6,54.45,326.69
T000954,C0054,P037,2025-06-13,6,329.09,1974.56
T000276,C0071,P001,2025-06-14,1,276.25,276.25
T000150,C0025,P006,2025-06-15,9,201.3,1811.66
T000423,C0196,P023,2025-06-15,6,415.9,2495.43
T000807,C0157,P012,2025-06-15,3,197.77,593.3
T000220,C0179,P038,2025-06-15,9,179.05,1611.48
T000050,C0049,P033,2025-06-16,6,150.2,901.23
T000366,C0190,P022,2025-06-16,8,449.16,3593.25
T000596,C0168,P014,2025-06-16,3,162.97,488.91
T000611,C0128,P047,2025-06-16,8,10.09,80.72
T000014,C0063,P025,2025-06-17,7,375.76,2630.32
T000057,C0154,P031,2025-06-17,1,215.23,215.23
T000132,C0074,P049,2025-06-18,4,116.15,464.62
T000654,C0066,P027,2025-06-18,3,206.83,620.48
T000459,C0085,P048,2025-06-20,3,256.88,770.65
T000197,C0105,P036,2025-06-20,7,409.21,2864.49
T000897,C0174,P038,2025-06-21,4,21.89,87.55
T000738,C0121,P048,2025-06-21,1,36.12,36.12
T000444,C0055,P032,2025-06-21,1,462.44,462.44
T000244,C0183,P015,2025-06-21,4,46.02,184.06
T000246,C0175,P032,2025-06-21,7,161.35,1129.46
T000319,C0043,P014,2025-06-21,2,345.15,690.31
T000516,C0028,P038,2025-06-22,6,455.2,2731.21
T000255,C0111,P029,2025-06-22,3,444.42,1333.26
T000582,C0077,P036,2025-06-22,4,312.61,1250.42
T000447,C0172,P029,2025-06-24,7,368.7,2580.91
T000684,C0048,P019,2025-06-24,2,373.53,747.06
T000797,C0092,P034,2025-06-24,5,321.72,1608.58
T000634,C0004,P025,2025-06-24,5,227.52,1137.62
T000219,C0021,P041,2025-06-24,1,265.01,265.01
T000060,C0129,P042,2025-06-25,2,242.52,485.05
T000894,C0164,P040,2025-06-25,9,356.93,3212.36
T000032,C0012,P020,2025-06-25,9,219.27,1973.44
T000543,C0076,P003,2025-06-26,3,285.5,856.51
