customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,recency_label,frequency_label,monetary_label
CUST_0050,41,7,608.29,2,1,1,211,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0051,121,3,318.12,1,1,1,111,خطر,3-6 شهور,قليل,متوسط
CUST_0052,50,15,1645.65,1,4,4,144,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0053,15,13,1110.73,3,4,3,343,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0054,139,10,1190.37,1,2,3,123,خطر,3-6 شهور,كثير,مرتفع جداً
CUST_0055,41,13,1725.56,2,4,4,244,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0056,34,13,1165.76,2,4,3,243,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0057,10,15,1650.1200000000001,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0058,26,8,657.0799999999999,3,1,1,311,متوسط,حديث,كثير,مرتفع
CUST_0059,16,11,1002.03,3,3,2,332,نشط,حديث,كثير,مرتفع جداً
CUST_0060,18,13,1159.85,3,4,3,343,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0061,8,15,1625.5900000000001,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0062,29,7,486.11,2,1,1,211,خطر,حديث,كثير,متوسط
CUST_0063,31,15,1279.69,2,4,3,243,مخلص,أقل من 3 شهور,كثير جداً,مرتفع جداً
CUST_0064,22,5,628.73,3,1,1,311,متوسط,حديث,متوسط,مرتفع
CUST_0065,56,7,695.4300000000001,1,1,1,111,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0066,18,7,904.91,3,1,2,312,متوسط,حديث,كثير,مرتفع
CUST_0067,70,10,769.97,1,2,2,122,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0068,49,6,659.13,2,1,1,211,خطر,أقل من 3 شهور,متوسط,مرتفع
CUST_0069,23,10,1564.2,3,2,4,324,نشط,حديث,كثير,مرتفع جداً
CUST_0070,2,13,1292.97,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0071,20,18,1429.7,3,4,4,344,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0072,20,8,619.48,3,1,1,311,متوسط,حديث,كثير,مرتفع
CUST_0073,4,11,1018.55,4,3,2,432,نشط,حديث,كثير,مرتفع جداً
CUST_0074,43,10,1110.18,2,2,3,223,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0075,22,11,1101.73,3,3,3,333,VIP,حديث,كثير,مرتفع جداً
CUST_0076,1,9,653.3,4,2,1,421,نشط,حديث,كثير,مرتفع
CUST_0077,9,11,1341.08,4,3,4,434,VIP,حديث,كثير,مرتفع جداً
CUST_0078,37,10,1138.15,2,2,3,223,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0079,70,7,458.47,1,1,1,111,خطر,أقل من 3 شهور,كثير,متوسط
CUST_0080,10,10,1231.51,4,2,3,423,نشط,حديث,كثير,مرتفع جداً
CUST_0081,18,9,947.34,3,2,2,322,نشط,حديث,كثير,مرتفع
CUST_0082,38,8,834.8,2,1,2,212,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0083,9,7,732.9300000000001,4,1,2,412,متوسط,حديث,كثير,مرتفع
CUST_0084,34,10,1039.94,2,2,3,223,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0085,3,15,1371.31,4,4,4,444,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0086,22,16,1556.4299999999998,3,4,4,344,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0087,62,10,1379.42,1,2,4,124,خطر,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0088,19,6,676.21,3,1,1,311,متوسط,حديث,متوسط,مرتفع
CUST_0089,46,11,1146.67,2,3,3,233,مخلص,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0090,124,14,1278.5,1,4,3,143,مخلص,3-6 شهور,كثير جداً,مرتفع جداً
CUST_0091,79,9,963.07,1,2,2,122,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0092,28,9,1121.21,3,2,3,323,نشط,حديث,كثير,مرتفع جداً
CUST_0093,56,8,827.76,1,1,2,112,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0094,14,7,654.61,4,1,1,411,متوسط,حديث,كثير,مرتفع
CUST_0095,13,11,1038.97,4,3,2,432,نشط,حديث,كثير,مرتفع جداً
CUST_0096,92,11,1001.79,1,3,2,132,مخلص,3-6 شهور,كثير,مرتفع جداً
CUST_0097,18,14,1132.18,3,4,3,343,VIP,حديث,كثير جداً,مرتفع جداً
CUST_0098,34,11,1255.15,2,3,3,233,مخلص,أقل من 3 شهور,كثير,مرتفع جداً
CUST_0099,32,9,834.21,2,2,2,222,خطر,أقل من 3 شهور,كثير,مرتفع
CUST_0100,19,7,701.81,3,1,1,311,متوسط,حديث,كثير,مرتفع
